1;1;12/11/2017;5;6;7;3;
1;2;12/11/2017;7;8;9;1;
2;1;12/11/2017;6;7;8;2;
2;2;12/11/2017;6;7;8;2;
3;1;12/11/2017;7;8;9;1;
3;2;12/11/2017;5;6;7;3;
4;1;05/11/2017;5;6;7;4;
4;2;05/11/2017;8;9;10;1;
5;1;05/11/2017;6;7;8;3;
5;2;05/11/2017;7;8;9;2;
6;1;05/11/2017;7;8;9;2;
6;2;05/11/2017;6;7;8;3;
7;1;05/11/2017;8;9;10;1;
7;2;05/11/2017;5;6;7;4;
8;1;12/06/2017;5;6;7;3;
8;2;12/06/2017;7;8;9;1;
9;1;12/06/2017;6;7;8;2;
9;2;12/06/2017;6;7;8;2;
10;1;12/06/2017;7;8;9;1;
10;2;12/06/2017;5;6;7;3;
